Architect,London Based,International Portfolio,Complex Projects,High Rise Buildings,Current Relationship,Growing,Align with values,Turnover,Locations
Foster and Partners,2,9,8,6,10,8,8,4,3
BDP,2,6,6,4,0,8,5,1,3
Zaha Hadid Architects,2,9,9,7,10,7,4,1,1
Allford Hall Monaghan Morris,2,6,5,5,0,6,7,1,1
Chapman Taylor,2,7,7,6,0,6,6,1,3
Allies and Morrison,2,4,5,5,10,5,7,1,1
Aukett Swanke,2,7,6,5,0,4,7,1,2
EPR Architects,2,3,5,3,10,3,7,1,1
Purcell ,2,4,4,3,10,3,8,1,2
Stride Treglown,2,3,4,3,0,3,6,1,2
Feilden Clegg Bradley Studios,2,3,6,4,0,2,6,1,1
Hyphen  ,2,6,5,2,0,2,6,1,2
PRP ,2,5,5,3,10,2,6,1,1
AHR ,2,3,6,3,0,2,6,1,2
Buckley Gray Yeoman,2,4,4,2,0,1,5,1,1
Grimshaw,2,8,8,6,0,1,7,1,2
PLP,2,7,7,7,10,1,7,1,1
RSHP,2,6,7,6,10,1,6,1,1
David Adjaye,2,7,6,3,0,1,6,1,1
David Chipperfield,2,6,6,3,0,1,7,1,1
Heatherwick,2,8,8,4,10,1,6,1,1
Hawkins Brown,2,3,5,4,0,1,7,1,1
Wilkinson Eyre,2,6,6,6,10,1,6,1,1
Benoy,2,6,6,5,0,1,6,1,2
Gensler,3,9,6,7,0,10,7,10,8
HDR,3,9,6,6,0,10,6,6,10
HOK,3,6,7,6,0,8,7,3,4
10Design,3,6,6,7,0,1,5,1,2
C.F Moller,1,5,6,7,10,5,6,1,1
Scott Brownrigg,2,5,6,4,0,2,6,1,2
Citterio Viel and Partners,1,6,6,7,0,1,5,1,1
UN Studio,1,8,7,7,10,1,6,1,1
3XN,3,8,7,7,10,1,8,1,1
SOM,3,8,7,9,10,1,7,3,2
AFK,2,6,6,7,0,5,7,1,1
KPF,3,8,7,9,10,1,7,2,2
Perkins Eastman,1,6,6,7,0,10,7,3,4
DLR Group ,1,6,7,4,0,10,6,3,5
HKS,3,7,7,5,0,10,7,3,4
Cannon,1,6,6,5,0,9,8,2,3
Smith Group ,1,7,5,5,0,9,7,3,3
ZGF Architects,1,5,6,5,0,5,7,2,1
NBBJ,3,7,5,6,0,8,8,3,2
PBK,1,7,6,5,0,7,6,2,4
